Date,Open,High,Low,Close,AdjClose
2009-06-17,91.6000,92.3300,90.8300,91.5500,67.2561
2009-06-18,91.6900,92.6700,91.2500,92.2200,67.7483
2009-06-19,92.5800,92.7000,91.5200,92.0400,67.9980
2009-06-22,91.1400,91.1900,89.2500,89.2800,65.9590
2009-06-23,89.4700,89.8800,88.8500,89.3500,66.0107
2009-06-24,90.1600,91.0800,89.6000,90.1200,66.5795
2009-06-25,89.6700,92.1700,89.5700,92.0800,68.0275
2009-06-26,91.7700,92.2400,91.2700,91.8400,67.8502
2009-06-29,92.1100,92.8200,91.6000,92.7000,68.4856
2009-06-30,92.7200,93.0600,91.2700,91.9500,67.9315
2009-07-01,92.3400,93.2300,92.2100,92.3300,68.2122
2009-07-02,91.1300,92.3600,89.7600,89.8100,66.3505
2009-07-06,88.9400,89.9300,88.6600,89.8000,66.3431
2009-07-07,89.7100,89.8200,88.0000,88.0600,65.0576
2009-07-08,88.5900,88.8000,87.0000,88.0000,65.0133
2009-07-09,88.6100,88.9000,87.9100,88.1700,65.1389
2009-07-10,87.7000,88.4900,87.3500,87.9600,64.9837
2009-07-13,88.3100,90.1700,87.5900,90.1000,66.5648
2009-07-14,90.3800,90.6900,89.7300,90.6100,66.9415
2009-07-15,91.8100,93.5100,90.6800,93.2600,68.8993
2009-07-16,93.0000,94.5100,92.8200,93.1100,68.7885
2009-07-17,94.0600,94.3200,93.5400,94.1300,69.5421
2009-07-20,94.6800,95.2900,94.1900,95.1300,70.2808
2009-07-21,95.8700,95.9000,94.4200,95.5700,70.6059
2009-07-22,94.9600,96.1300,94.8900,95.5500,70.5911
2009-07-23,95.6100,98.0800,95.5300,97.6600,72.1500
2009-07-24,97.2000,98.1400,96.6900,98.0600,72.4455
2009-07-27,97.8800,98.4000,97.3400,98.3500,72.6597
2009-07-28,97.6600,98.3700,97.0600,97.8900,72.3199
2009-07-29,97.4400,98.0900,96.9800,97.6500,72.1426
2009-07-30,98.8300,99.8300,98.6000,98.6700,72.8961
2009-07-31,98.6500,99.4700,98.3800,98.8100,72.9996
2009-08-03,99.8500,100.5300,99.3100,100.4400,74.2038
2009-08-04,99.9900,100.8400,99.7800,100.7000,74.3959
2009-08-05,100.7700,100.8600,99.5800,100.4100,74.1816
2009-08-06,100.8700,101.0200,99.4200,99.8900,73.7975
2009-08-07,100.9400,102.0300,100.3900,101.2000,74.7653
2009-08-10,100.7400,101.2200,100.2700,100.9900,74.6101
2009-08-11,100.5400,100.6100,99.4600,99.7300,73.6793
2009-08-12,99.5600,101.5600,99.5100,100.8000,74.4698
2009-08-13,101.2600,101.6100,100.2600,101.5700,75.0386
2009-08-14,101.5200,101.6000,99.7000,100.7900,74.4624
2009-08-17,98.8500,98.9500,98.1100,98.3100,72.6302
2009-08-18,98.5300,99.4400,98.3500,99.0900,73.2065
2009-08-19,98.3100,100.3000,98.2100,99.9600,73.8492
2009-08-20,100.0900,101.2200,99.8700,100.9900,74.6101
2009-08-21,101.8200,103.1300,101.6200,102.9700,76.0729
2009-08-24,103.3900,103.9500,102.5900,102.9600,76.0656
2009-08-25,103.3700,104.2600,102.9400,103.1600,76.2133
2009-08-26,102.8400,103.6400,102.4900,103.1700,76.2207
2009-08-27,103.1100,103.7200,101.9400,103.4000,76.3906
2009-08-28,104.2300,104.3500,102.6700,103.3800,76.3758
2009-08-31,102.3700,102.5800,101.7900,102.4600,75.6961
2009-09-01,101.9500,103.2400,99.9900,100.2000,74.0265
2009-09-02,99.7800,100.4400,99.5700,99.8200,73.7458
2009-09-03,100.4000,100.7700,99.5900,100.6500,74.3589
2009-09-04,100.8500,102.0900,100.5500,102.0600,75.4006
2009-09-08,103.0000,103.0500,102.3900,102.9400,76.0508
2009-09-09,103.1200,104.0800,102.8000,103.7300,76.6344
2009-09-10,103.8000,104.8600,103.2200,104.7900,77.4175
2009-09-11,104.9900,105.3000,104.2800,104.7700,77.4027
2009-09-14,103.8800,105.4600,103.1500,105.2800,77.7795
2009-09-15,105.4500,106.1100,104.7600,105.7200,78.1046
2009-09-16,106.1000,107.3400,105.7300,107.3200,79.2867
2009-09-17,107.1700,108.0600,106.5700,107.1600,79.1685
2009-09-18,107.1500,107.1600,106.3600,106.7200,79.2189
2009-09-21,105.8900,107.0000,105.6600,106.4500,79.0185
2009-09-22,107.0800,107.3700,106.6000,107.0700,79.4787
2009-09-23,107.3200,108.0300,105.9900,106.1800,78.8181
2009-09-24,106.4100,106.6400,104.5500,105.0100,77.9496
2009-09-25,104.7800,105.3600,104.0900,104.4500,77.5339
2009-09-28,104.8500,106.5500,104.8300,106.3200,78.9220
2009-09-29,106.5100,107.0200,105.7800,106.0000,78.6845
